model,precision,batch_size,power_mode,p_peak_w,energy_per_inf_j,thermal_ramp_c_per_s,speed_score,pareto
resnet18,FP16,4,15W,11.609472,0.61846820044922,0.0119848598807212,18.604933099350514,0
resnet18,FP16,4,15W,11.945472,0.6000819152218224,0.0446600473127651,19.542560730318783,0
resnet18,FP16,4,15W,12.063744,0.600191757525111,0.0244184660891987,19.640580223251508,0
resnet18,FP16,4,25W,15.614336,0.1492097237859336,1.252296943260676,91.5984353077074,0
resnet18,FP16,4,25W,15.653568,0.1609471931599395,0.8686613187802272,91.04092462357288,0
resnet18,FP16,4,25W,15.575104,0.1591412392196259,0.8808128425430852,90.7854617432506,0
resnet18,FP16,4,25W,12.576256,0.627498932202931,0.0225371890892512,19.75631421189761,0
resnet18,FP16,4,25W,12.773376,0.6263482331313167,0.0286401219610767,19.88512443419987,0
resnet18,FP16,4,25W,12.536832,0.6254304254894587,0.0656096027971699,19.65848422263681,0
resnet18,FP16,4,MAXN,17.79232,0.141835971025732,1.7042371211441074,106.73092205917622,0
resnet18,FP16,4,MAXN,17.9584,0.1545324963651286,0.999752980015429,109.26116786841288,0
resnet18,FP16,4,MAXN,17.997439999999997,0.1539459710898969,0.9636920994180548,108.83125118108032,0
resnet18,FP16,4,MAXN,14.067968,0.6431413930233615,-0.0880719752701949,19.876109522098748,0
resnet18,FP16,4,MAXN,12.87072,0.6352139168595881,0.014600127932099,19.864396631347024,0
resnet18,FP16,4,MAXN,12.792,0.6363479070067473,0.0107141787667516,19.842469019310744,0
resnet18,FP16,8,15W,13.50048,0.2600417946226103,0.3917487076635245,49.27578185999241,0
resnet18,FP16,8,15W,13.42176,0.2643939464520688,0.1517568139959725,49.41104364877592,0
resnet18,FP16,8,15W,13.46112,0.2640877018548381,0.1712843200897665,49.38949677607847,0
resnet18,FP16,8,15W,12.9888,0.8656367129372335,0.0253004722678,14.856067284775689,0
resnet18,FP16,8,15W,12.9888,0.867058562096084,0.0210414374915064,14.826682700823977,0
resnet18,FP16,8,15W,13.02816,0.8701555255853104,0.0226220828452515,14.78962926227271,0
resnet18,FP16,8,25W,17.98784,0.2307399848530996,1.052649661681862,70.58780326355085,0
resnet18,FP16,8,25W,18.11456,0.2407305844846377,0.5769989610145674,70.98856127144103,0
resnet18,FP16,8,25W,18.19264,0.24075638929404,0.5524265398797793,70.82499836422407,0
resnet18,FP16,8,25W,15.980544,0.8579866956839631,0.0388055738044674,18.26578228109844,0
resnet18,FP16,8,25W,15.941376,0.8588664065860576,0.0575426913598007,18.26427073771456,0
resnet18,FP16,8,25W,16.372224,0.8368567603124655,0.0902388571842368,19.148931428611156,0
resnet18,FP16,8,MAXN,19.806208,0.2318724664976085,1.3558311920615405,75.77641917157521,0
resnet18,FP16,8,MAXN,19.884032,0.2473466192167167,0.6864774787195536,75.70612560696499,0
resnet18,FP16,8,MAXN,19.922944,0.2481605190346348,0.5670949930396207,76.30726601633056,0
resnet18,FP16,8,MAXN,16.971135999999998,0.8949318553117844,0.0258071736095313,18.597277425907063,0
resnet18,FP16,8,MAXN,17.010240000000003,0.8880616848681382,0.0439438981647734,18.80224028071201,0
resnet18,FP16,8,MAXN,16.932032,0.8908000469737253,0.040008034023058,18.670607001187573,0
resnet18,FP16,16,15W,14.303744,0.4724011235400132,0.139285842356439,29.258735010275647,0
resnet18,FP16,16,15W,14.185856,0.4749227387984949,0.061594415233249,29.29019046938828,0
resnet18,FP16,16,15W,14.185856,0.4743456645429019,0.0500184138884193,29.306130591521267,0
resnet18,FP16,16,15W,13.832192,1.4909886847620568,-0.0162651067423142,9.087431005568028,0
resnet18,FP16,16,15W,13.792896,1.4915440937525963,-0.0118871040846284,9.088010501905256,0
resnet18,FP16,16,15W,13.792896,1.4876748774446218,0.0017205559482232,9.1282297420318,0
resnet18,FP16,16,25W,18.864384,0.4322106843723456,0.6389726145490331,41.35733155286215,0
resnet18,FP16,16,25W,18.90336,0.4397205926450785,0.3073930819591935,41.61476622142987,0
resnet18,FP16,16,25W,18.864384,0.438577577177159,0.2886663516179371,41.64404777152406,0
resnet18,FP16,16,25W,18.23168,1.3896439065754005,0.0678303799989412,12.88148729769843,0
resnet18,FP16,16,25W,18.30976,1.3889596763946452,0.0461448537924413,12.889001246341778,0
resnet18,FP16,16,25W,18.23168,1.389676761321932,0.0385277683521579,12.891372309932324,0
